wavelength (A),flux density (erg/cm2/s/A)
2813.4536,3.0399E-13
2814.8254,3.6377E-13
2816.197,3.8617E-13
2817.5688,3.9601E-13
2818.9404,4.2471E-13
2820.312,4.5383E-13
2821.6836,4.6349E-13
2823.0554,4.8516E-13
2824.427,5.1581E-13
2825.7986,4.9406E-13
2827.1702,4.9942E-13
2828.5417,5.1754E-13
2829.9133,5.4941E-13
2831.2849,5.4823E-13
2832.6562,5.3719E-13
2834.0278,5.3155E-13
2835.3994,4.8150E-13
2836.771,4.8489E-13
2838.1423,5.4207E-13
2839.5139,5.2809E-13
2840.8853,4.8807E-13
2842.2568,4.8463E-13
2843.6282,4.2296E-13
2844.9998,4.1884E-13
2846.3711,3.6747E-13
2847.7424,3.0296E-13
2849.1138,2.3208E-13
2850.4854,1.7439E-13
2851.8567,1.2975E-13
2853.228,1.3531E-13
2854.5994,1.8237E-13
2855.9707,2.4212E-13
2857.342,3.0524E-13
2858.7131,3.7678E-13
2860.0845,4.6484E-13
2861.4558,5.0073E-13
2862.8271,5.1655E-13
2864.1982,5.6036E-13
2865.5696,5.7089E-13
2866.9407,5.5372E-13
2868.312,5.2024E-13
2869.6831,5.4618E-13
2871.0544,6.3569E-13
2872.4255,6.7007E-13
2873.7966,6.1551E-13
2875.168,5.9175E-13
2876.5391,5.5689E-13
2877.9102,5.1817E-13
2879.2812,4.5001E-13
2880.6523,3.4250E-13
2882.0234,2.9333E-13
2883.3945,3.9875E-13
2884.7654,5.5654E-13
2886.1365,6.4391E-13
2887.5076,6.5170E-13
2888.8787,6.5638E-13
2890.2495,6.5897E-13
2891.6206,6.6484E-13
2892.9915,6.7115E-13
2894.3625,7.0714E-13
2895.7334,7.9850E-13
2897.1042,8.4526E-13
2898.4753,8.6455E-13
2899.8462,9.5518E-13
2901.217,9.7559E-13
2902.5879,9.6322E-13
2903.9587,1.0298E-12
2905.3296,1.0105E-12
2906.7004,9.6941E-13
2908.0713,9.2692E-13
2909.4421,9.0654E-13
2910.813,9.1628E-13
2912.1836,9.6282E-13
2913.5544,9.9619E-13
2914.9253,9.2256E-13
2916.2959,8.9849E-13
2917.6667,8.8488E-13
2919.0374,8.7992E-13
2920.408,9.0783E-13
2921.7788,9.0880E-13
2923.1494,8.3821E-13
2924.52,7.8293E-13
2925.8906,7.5382E-13
2927.2612,7.4947E-13
2928.6318,7.2972E-13
2930.0024,8.5470E-13
2931.373,9.8136E-13
2932.7437,9.8716E-13
2934.1143,9.6559E-13
2935.4846,8.8662E-13
2936.8552,7.2193E-13
2938.2258,7.0464E-13
2939.5962,7.7036E-13
2940.9668,7.9461E-13
2942.3372,8.4292E-13
2943.7075,8.7273E-13
2945.0781,8.6287E-13
2946.4485,8.1911E-13
2947.8188,6.8041E-13
2949.1892,6.7187E-13
2950.5596,8.1101E-13
2951.9299,9.3374E-13
2953.3003,8.6999E-13
2954.6707,8.3877E-13
2956.041,8.9257E-13
2957.4114,8.7641E-13
2958.7815,9.4679E-13
2960.1519,9.2927E-13
2961.522,9.4231E-13
2962.8923,9.4839E-13
2964.2625,8.5568E-13
2965.6328,6.4426E-13
2967.0029,5.8486E-13
2968.373,6.5199E-13
2969.7432,6.3498E-13
2971.1135,6.6855E-13
2972.4836,6.9569E-13
2973.8538,7.5225E-13
2975.2239,9.1567E-13
2976.5938,1.0095E-12
2977.9639,1.0616E-12
2979.334,9.5392E-13
2980.7041,7.9510E-13
2982.074,6.6245E-13
2983.4441,5.7522E-13
2984.814,5.3579E-13
2986.1841,6.0301E-13
2987.554,7.0043E-13
2988.9238,8.3834E-13
2990.2937,9.6428E-13
2991.6638,9.4288E-13
2993.0337,8.3040E-13
2994.4036,7.1943E-13
2995.7734,7.7870E-13
2997.1433,8.8998E-13
2998.5129,8.0872E-13
2999.8828,6.1132E-13
3001.2527,5.2229E-13
3002.6223,5.4456E-13
3003.9922,6.5963E-13
3005.3621,7.9097E-13
3006.7317,7.3198E-13
3008.1013,6.4422E-13
3009.4712,7.2119E-13
3010.8408,8.3406E-13
3012.2104,8.4024E-13
3013.5801,8.6410E-13
3014.9497,8.5282E-13
3016.3193,8.0611E-13
3017.689,6.8660E-13
3019.0586,5.6008E-13
3020.4282,4.7619E-13
3021.7976,5.7252E-13
3023.1672,7.7900E-13
3024.5366,7.9649E-13
3025.9062,8.0138E-13
3027.2756,9.6698E-13
3028.6453,1.0698E-12
3030.0146,1.0132E-12
3031.384,1.0158E-12
3032.7534,1.1107E-12
3034.1228,1.1408E-12
3035.4922,1.1027E-12
3036.8616,9.4911E-13
3038.231,8.3929E-13
3039.6003,8.9592E-13
3040.9697,8.9764E-13
3042.3389,8.8902E-13
3043.7083,1.0119E-12
3045.0776,1.0723E-12
3046.4468,9.9578E-13
3047.8159,9.6339E-13
3049.1853,9.5610E-13
3050.5544,1.0726E-12
3051.9236,1.1553E-12
3053.2927,1.1225E-12
3054.6619,9.9235E-13
3056.031,9.2544E-13
3057.4001,7.5860E-13
3058.7693,6.8177E-13
3060.1384,8.3453E-13
3067.3921,9.1798E-13
3070.1382,1.0156E-12
3072.8843,1.0095E-12
3075.6304,1.0069E-12
3078.3765,1.0229E-12
3081.1226,9.8480E-13
3083.8689,1.0234E-12
3086.615,9.8283E-13
3089.3613,8.5456E-13
3092.1074,8.0063E-13
3094.8538,8.0333E-13
3097.6001,7.7404E-13
3100.3462,7.7035E-13
3103.0925,9.8953E-13
3105.8389,1.1732E-12
