radius [cm],density [g/cm3],temperature [K]
1.653960E+11,8.977510E-03,2.229546E+06
1.666474E+11,8.326320E-03,2.174349E+06
1.678988E+11,7.716671E-03,2.120210E+06
1.691502E+11,7.145078E-03,2.067089E+06
1.704016E+11,6.608658E-03,2.014955E+06
1.716530E+11,6.107053E-03,1.963830E+06
1.729044E+11,5.637541E-03,1.913659E+06
1.741558E+11,5.198328E-03,1.864412E+06
1.754072E+11,4.788420E-03,1.816098E+06
1.766586E+11,4.405374E-03,1.768690E+06
1.779100E+11,4.048384E-03,1.722229E+06
1.791613E+11,3.715501E-03,1.676710E+06
1.804128E+11,3.405327E-03,1.632118E+06
1.816642E+11,3.117210E-03,1.588445E+06
1.829155E+11,2.849317E-03,1.545605E+06
1.841669E+11,2.600755E-03,1.503535E+06
1.854183E+11,2.370965E-03,1.462196E+06
1.866697E+11,2.158289E-03,1.421511E+06
1.879211E+11,1.961746E-03,1.381455E+06
1.891725E+11,1.780421E-03,1.342013E+06
1.904239E+11,1.613235E-03,1.303148E+06
1.916753E+11,1.459342E-03,1.264869E+06
1.929267E+11,1.317793E-03,1.227189E+06
1.941781E+11,1.187777E-03,1.190119E+06
1.954295E+11,1.068475E-03,1.153671E+06
1.966809E+11,9.591867E-04,1.117836E+06
1.979323E+11,8.592072E-04,1.082599E+06
1.991837E+11,7.678982E-04,1.047948E+06
2.004351E+11,6.846230E-04,1.013907E+06
2.016865E+11,6.087829E-04,9.805430E+05
2.029379E+11,5.398948E-04,9.479645E+05
2.041893E+11,4.773541E-04,9.162072E+05
2.054407E+11,4.207259E-04,8.852570E+05
2.066921E+11,3.696229E-04,8.550700E+05
2.079435E+11,3.236854E-04,8.256263E+05
2.091948E+11,2.825242E-04,7.969309E+05
2.104462E+11,2.436840E-04,7.672694E+05
2.116976E+11,2.103450E-04,7.392128E+05
2.129490E+11,1.829345E-04,7.138389E+05
2.142004E+11,1.581813E-04,6.886074E+05
2.154518E+11,1.356573E-04,6.630207E+05
2.167032E+11,1.139316E-04,6.353015E+05
2.179546E+11,9.672857E-05,6.105462E+05
2.192060E+11,8.251990E-05,5.875218E+05
2.204574E+11,6.867104E-05,5.619890E+05
2.217088E+11,5.684904E-05,5.369117E+05
2.229602E+11,4.767157E-05,5.145099E+05
2.242116E+11,3.913476E-05,4.903135E+05
2.254630E+11,3.250731E-05,4.685079E+05
2.267144E+11,2.631782E-05,4.445496E+05
2.279658E+11,2.113614E-05,4.206993E+05
2.292172E+11,1.692752E-05,3.976964E+05
2.304686E+11,1.357111E-05,3.760007E+05
2.317200E+11,1.057295E-05,3.529783E+05
2.329714E+11,8.187062E-06,3.309568E+05
2.342228E+11,6.343564E-06,3.103150E+05
2.354741E+11,4.757714E-06,2.882221E+05
2.367255E+11,3.542743E-06,2.663649E+05
2.379769E+11,2.595468E-06,2.433563E+05
2.392283E+11,1.880603E-06,2.187562E+05
2.404797E+11,1.328023E-06,1.908925E+05
2.417311E+11,9.125199E-07,1.620392E+05
2.429825E+11,5.691850E-07,1.339334E+05
2.442339E+11,3.134242E-07,1.087600E+05
2.454853E+11,1.447740E-07,8.525742E+04
2.467367E+11,5.331856E-08,6.436504E+04
2.479881E+11,1.472920E-08,3.997786E+04
2.492395E+11,6.686504E-10,1.528163E+04
