# wavelength (A)  flux density (erg/cm2/s/A)
       2790.1331  1.82550e-13
       2791.5049  1.57030e-13
       2792.8770  1.36270e-13
       2794.2488  1.27160e-13
       2795.6206  1.41480e-13
       2796.9924  1.28400e-13
       2798.3643  1.10450e-13
       2799.7361  1.19970e-13
       2801.1079  1.21850e-13
       2802.4797  1.30500e-13
       2803.8516  1.36550e-13
       2805.2231  1.39320e-13
       2806.5950  1.66970e-13
       2807.9668  1.99590e-13
       2809.3386  2.32170e-13
       2810.7102  2.57520e-13
       2812.0820  2.73060e-13
       2813.4536  3.03990e-13
       2814.8254  3.63770e-13
       2816.1970  3.86170e-13
       2817.5688  3.96010e-13
       2818.9404  4.24710e-13
       2820.3120  4.53830e-13
       2821.6836  4.63490e-13
       2823.0554  4.85160e-13
       2824.4270  5.15810e-13
       2825.7986  4.94060e-13
       2827.1702  4.99420e-13
       2828.5417  5.17540e-13
       2829.9133  5.49410e-13
       2831.2849  5.48230e-13
       2832.6562  5.37190e-13
       2834.0278  5.31550e-13
       2835.3994  4.81500e-13
       2836.7710  4.84890e-13
       2838.1423  5.42070e-13
       2839.5139  5.28090e-13
       2840.8853  4.88070e-13
       2842.2568  4.84630e-13
       2843.6282  4.22960e-13
       2844.9998  4.18840e-13
       2846.3711  3.67470e-13
       2847.7424  3.02960e-13
       2849.1138  2.32080e-13
       2850.4854  1.74390e-13
       2851.8567  1.29750e-13
       2853.2280  1.35310e-13
       2854.5994  1.82370e-13
       2855.9707  2.42120e-13
       2857.3420  3.05240e-13
       2858.7131  3.76780e-13
       2860.0845  4.64840e-13
       2861.4558  5.00730e-13
       2862.8271  5.16550e-13
       2864.1982  5.60360e-13
       2865.5696  5.70890e-13
       2866.9407  5.53720e-13
       2868.3120  5.20240e-13
       2869.6831  5.46180e-13
       2871.0544  6.35690e-13
       2872.4255  6.70070e-13
       2873.7966  6.15510e-13
       2875.1680  5.91750e-13
       2876.5391  5.56890e-13
       2877.9102  5.18170e-13
       2879.2812  4.50010e-13
       2880.6523  3.42500e-13
       2882.0234  2.93330e-13
       2883.3945  3.98750e-13
       2884.7654  5.56540e-13
       2886.1365  6.43910e-13
       2887.5076  6.51700e-13
       2888.8787  6.56380e-13
       2890.2495  6.58970e-13
       2891.6206  6.64840e-13
       2892.9915  6.71150e-13
       2894.3625  7.07140e-13
       2895.7334  7.98500e-13
       2897.1042  8.45260e-13
       2898.4753  8.64550e-13
       2899.8462  9.55180e-13
       2901.2170  9.75590e-13
       2902.5879  9.63220e-13
       2903.9587  1.02980e-12
       2905.3296  1.01050e-12
       2906.7004  9.69410e-13
       2908.0713  9.26920e-13
       2909.4421  9.06540e-13
       2910.8130  9.16280e-13
       2912.1836  9.62820e-13
       2913.5544  9.96190e-13
       2914.9253  9.22560e-13
       2916.2959  8.98490e-13
       2917.6667  8.84880e-13
       2919.0374  8.79920e-13
       2920.4080  9.07830e-13
       2921.7788  9.08800e-13
       2923.1494  8.38210e-13
       2924.5200  7.82930e-13
       2925.8906  7.53820e-13
       2927.2612  7.49470e-13
       2928.6318  7.29720e-13
       2930.0024  8.54700e-13
       2931.3730  9.81360e-13
       2932.7437  9.87160e-13
       2934.1143  9.65590e-13
       2935.4846  8.86620e-13
       2936.8552  7.21930e-13
       2938.2258  7.04640e-13
       2939.5962  7.70360e-13
       2940.9668  7.94610e-13
       2942.3372  8.42920e-13
       2943.7075  8.72730e-13
       2945.0781  8.62870e-13
       2946.4485  8.19110e-13
       2947.8188  6.80410e-13
       2949.1892  6.71870e-13
       2950.5596  8.11010e-13
       2951.9299  9.33740e-13
       2953.3003  8.69990e-13
       2954.6707  8.38770e-13
       2956.0410  8.92570e-13
       2957.4114  8.76410e-13
       2958.7815  9.46790e-13
       2960.1519  9.29270e-13
       2961.5220  9.42310e-13
       2962.8923  9.48390e-13
       2964.2625  8.55680e-13
       2965.6328  6.44260e-13
       2967.0029  5.84860e-13
       2968.3730  6.51990e-13
       2969.7432  6.34980e-13
       2971.1135  6.68550e-13
       2972.4836  6.95690e-13
       2973.8538  7.52250e-13
       2975.2239  9.15670e-13
       2976.5938  1.00950e-12
       2977.9639  1.06160e-12
       2979.3340  9.53920e-13
       2980.7041  7.95100e-13
       2982.0740  6.62450e-13
       2983.4441  5.75220e-13
       2984.8140  5.35790e-13
       2986.1841  6.03010e-13
       2987.5540  7.00430e-13
       2988.9238  8.38340e-13
       2990.2937  9.64280e-13
       2991.6638  9.42880e-13
       2993.0337  8.30400e-13
       2994.4036  7.19430e-13
       2995.7734  7.78700e-13
       2997.1433  8.89980e-13
       2998.5129  8.08720e-13
       2999.8828  6.11320e-13
       3001.2527  5.22290e-13
       3002.6223  5.44560e-13
       3003.9922  6.59630e-13
       3005.3621  7.90970e-13
       3006.7317  7.31980e-13
       3008.1013  6.44220e-13
       3009.4712  7.21190e-13
       3010.8408  8.34060e-13
       3012.2104  8.40240e-13
       3013.5801  8.64100e-13
       3014.9497  8.52820e-13
       3016.3193  8.06110e-13
       3017.6890  6.86600e-13
       3019.0586  5.60080e-13
       3020.4282  4.76190e-13
       3021.7976  5.72520e-13
       3023.1672  7.79000e-13
       3024.5366  7.96490e-13
       3025.9062  8.01380e-13
       3027.2756  9.66980e-13
       3028.6453  1.06980e-12
       3030.0146  1.01320e-12
       3031.3840  1.01580e-12
       3032.7534  1.11070e-12
       3034.1228  1.14080e-12
       3035.4922  1.10270e-12
       3036.8616  9.49110e-13
       3038.2310  8.39290e-13
       3039.6003  8.95920e-13
       3040.9697  8.97640e-13
       3042.3389  8.89020e-13
       3043.7083  1.01190e-12
       3045.0776  1.07230e-12
       3046.4468  9.95780e-13
       3047.8159  9.63390e-13
       3049.1853  9.56100e-13
       3050.5544  1.07260e-12
       3051.9236  1.15530e-12
       3053.2927  1.12250e-12
       3054.6619  9.92350e-13
       3056.0310  9.25440e-13
       3057.4001  7.58600e-13
       3058.7693  6.81770e-13
       3060.1384  8.34530e-13
       3067.3921  9.17980e-13
       3070.1382  1.01560e-12
       3072.8843  1.00950e-12
       3075.6304  1.00690e-12
       3078.3765  1.02290e-12
       3081.1226  9.84800e-13
       3083.8689  1.02340e-12
       3086.6150  9.82830e-13
       3089.3613  8.54560e-13
       3092.1074  8.00630e-13
       3094.8538  8.03330e-13
       3097.6001  7.74040e-13
       3100.3462  7.70350e-13
       3103.0925  9.89530e-13
       3105.8389  1.17320e-12
       3108.5852  1.23830e-12
       3111.3315  1.23040e-12
       3114.0779  1.18450e-12
       3116.8245  1.06890e-12
       3119.5708  1.00490e-12
       3122.3171  1.02880e-12
       3125.0637  1.05200e-12
       3127.8101  1.08290e-12
       3130.5566  1.09000e-12
       3133.3030  1.09450e-12
       3136.0496  1.13570e-12
       3138.7961  1.10600e-12
       3141.5427  1.05730e-12
       3144.2893  9.19160e-13
       3147.0359  1.03450e-12
       3149.7825  1.13120e-12
       3152.5291  1.08170e-12
       3155.2756  9.91350e-13
       3158.0222  9.12570e-13
       3160.7688  8.65510e-13
       3163.5156  1.00160e-12
       3166.2622  1.08270e-12
       3169.0090  1.18410e-12
       3171.7556  1.26390e-12
       3174.5024  1.25990e-12
       3177.2493  1.12940e-12
       3179.9961  9.46060e-13
       3182.7427  9.66260e-13
       3185.4895  1.07060e-12
       3188.2363  1.15170e-12
       3190.9832  1.06660e-12
       3193.7300  1.02010e-12
       3196.4771  1.12920e-12
       3199.2239  1.23610e-12
       3201.9707  1.28560e-12
       3204.7178  1.33760e-12
       3207.4646  1.22780e-12
       3210.2114  1.04810e-12
       3212.9585  9.88510e-13
       3215.7056  1.08640e-12
       3218.4524  1.19850e-12
       3221.1995  1.16900e-12
       3223.9465  1.08870e-12
       3226.6936  9.93370e-13
       3229.4407  9.77040e-13
       3232.1877  1.04670e-12
       3234.9348  1.03980e-12
       3237.6819  1.10860e-12
       3240.4290  1.19320e-12
       3243.1760  1.22990e-12
       3245.9231  1.25880e-12
       3248.6704  1.20250e-12
       3251.4175  1.25950e-12
       3254.1646  1.38840e-12
       3256.9119  1.51160e-12
       3259.6592  1.57000e-12
       3262.4062  1.52140e-12
       3265.1536  1.48880e-12
       3267.9009  1.55400e-12
       3270.6479  1.50160e-12
       3273.3953  1.50590e-12
       3276.1426  1.48930e-12
       3278.8899  1.45450e-12
       3281.6372  1.44760e-12
       3284.3845  1.41890e-12
       3287.1318  1.38550e-12
       3289.8794  1.54770e-12
       3292.6267  1.66880e-12
       3295.3740  1.71080e-12
       3298.1213  1.70670e-12
       3300.8689  1.68970e-12
       3303.6162  1.54450e-12
       3306.3638  1.43740e-12
       3309.1111  1.52730e-12
       3311.8586  1.54080e-12
       3314.6062  1.49830e-12
       3317.3535  1.54870e-12
       3320.1011  1.51070e-12
       3322.8486  1.43340e-12
       3325.5962  1.49130e-12
       3328.3438  1.47920e-12
       3331.0913  1.46560e-12
       3333.8389  1.44140e-12
       3336.5864  1.35100e-12
       3339.3340  1.43040e-12
       3342.0815  1.47770e-12
       3344.8291  1.52850e-12
       3347.5769  1.49480e-12
       3350.3245  1.44250e-12
       3353.0720  1.56590e-12
       3355.8198  1.55890e-12
       3358.5674  1.30710e-12
       3361.3152  1.15450e-12
       3364.0627  1.38020e-12
       3366.8105  1.36650e-12
       3369.5583  1.21950e-12
       3372.3059  1.23350e-12
       3375.0537  1.43970e-12
       3377.8015  1.47640e-12
       3380.5493  1.33130e-12
       3383.2971  1.41560e-12
       3386.0449  1.45260e-12
       3388.7927  1.48270e-12
       3391.5405  1.43550e-12
       3394.2883  1.43150e-12
       3397.0361  1.60060e-12
       3399.7839  1.71240e-12
       3402.5317  1.64400e-12
       3405.2795  1.54730e-12
       3408.0276  1.48420e-12
       3410.7754  1.48820e-12
       3413.5232  1.39010e-12
       3416.2712  1.42960e-12
       3419.0190  1.57280e-12
       3421.7671  1.57900e-12
       3424.5149  1.52150e-12
       3427.2629  1.56200e-12
       3430.0110  1.66810e-12
       3432.7588  1.58900e-12
       3435.5068  1.55260e-12
       3438.2549  1.38120e-12
       3441.0029  1.12200e-12
       3443.7507  1.12500e-12
       3446.4988  1.29520e-12
       3449.2468  1.44910e-12
       3451.9949  1.49880e-12
       3454.7429  1.53090e-12
       3457.4910  1.47980e-12
       3460.2390  1.36830e-12
       3462.9871  1.42700e-12
       3465.7354  1.49410e-12
       3468.4834  1.55340e-12
       3471.2314  1.54400e-12
       3473.9795  1.37360e-12
       3476.7278  1.29820e-12
       3479.4758  1.46850e-12
       3482.2239  1.51660e-12
       3484.9722  1.48250e-12
       3487.7202  1.50710e-12
       3490.4685  1.40900e-12
       3493.2166  1.34580e-12
       3495.9648  1.39040e-12
       3498.7129  1.50140e-12
       3501.4612  1.67570e-12
       3504.2095  1.71030e-12
       3506.9575  1.66600e-12
       3509.7058  1.58290e-12
       3512.4541  1.48660e-12
       3515.2024  1.47260e-12
       3517.9504  1.63290e-12
       3520.6987  1.55260e-12
       3523.4470  1.36800e-12
       3526.1953  1.38690e-12
       3528.9436  1.50040e-12
       3531.6919  1.60550e-12
       3534.4402  1.66220e-12
       3537.1885  1.71580e-12
       3539.9368  1.74670e-12
       3542.6851  1.73620e-12
